conjunto,archivo,reglas,accuracy,balanced_accuracy,aciertos,errores,sin_activacion
reglas_sin_cero_aciertos,limpieza\resultados_limpieza\iteracion_12_sin_reglas_cero_aciertos\reglas_sin_cero_aciertos.json,129,0.5662055335968379,0.5689608351591462,573,439,36
genetic_algorithm_reglas_unicas,limpieza\resultados_limpieza\reglas_unicas_por_iteracion\iteracion_12\genetic_algorithm_reglas_unicas.json,159,0.5365612648221344,0.5397495631916133,543,469,27
reglas_filtradas_precision_por_clase,limpieza\resultados_limpieza\iteracion_12_filtro_precision_por_clase\reglas_filtradas_precision_por_clase.json,91,0.6679841897233202,0.6725710911427277,676,336,38
