iteracion,algoritmo,accuracy_original,ba_original,accuracy_limpia,ba_limpia,delta_accuracy,delta_ba,reglas_originales,reglas_limpias,duplicadas_eliminadas,antecedentes_promedio,antecedentes_min,antecedentes_max
12,AG_MICHIGAN_BINARIO,0.5365612648221344,0.5397495631916133,0.5365612648221344,0.5397495631916133,0.0,0.0,368,159,209,6.0,6,6
12,PRISM_ESTOCASTICO,0.040513833992094864,0.0417036451544314,0.040513833992094864,0.0417036451544314,0.0,0.0,4,4,0,6.0,6,6
12,RIPPER,0.3221343873517787,0.33201655249558565,0.3221343873517787,0.33201655249558565,0.0,0.0,37,30,7,6.0,6,6
