algoritmo,accuracy_promedio,accuracy_desviacion_estandar,error_promedio,error_desviacion_estandar,error_balanceado_promedio,error_balanceado_desviacion_estandar,balanced_accuracy_promedio,balanced_accuracy_desviacion_estandar
AG_MICHIGAN_BINARIO,0.4936758893280633,0.022251743187317687,0.5063241106719367,0.02225174318731767,0.49674924425215644,0.01643265633162268,0.5032507557478436,0.01643265633162268
PRISM_ESTOCASTICO,0.03078063241106719,0.011286038546034872,0.969219367588933,0.011286038546034879,0.9661562479777388,0.009793648799939027,0.03384375202226105,0.009793648799939027
RIPPER,0.38764822134387356,0.040714517144816297,0.6123517786561266,0.040714517144816297,0.6124402855201486,0.03908679668767304,0.3875597144798513,0.03908679668767304
