candidato,origen,orden_clases,cantidad_reglas,antecedentes_promedio,antecedentes_max,cobertura_train,cobertura_val,cobertura_test,hard_ba_train,hard_ba_val,hard_ba_test,hard_f1_macro_val,hard_f1_macro_test,hard_acc_val,hard_acc_test,fuzzy_ba_train,fuzzy_ba_val,fuzzy_ba_test,fuzzy_f1_macro_val,fuzzy_f1_macro_test,fuzzy_acc_val,fuzzy_acc_test,gap_fuzzy_ba,reglas_por_clase,puntaje_pre_ag
12,bootstrap_006,"['low risk', 'mid risk', 'high risk']",28,2.9285714285714284,6,0.9322033898305084,0.903954802259887,0.9243421052631579,0.6618699696529885,0.6620784933183668,0.6393692584336039,0.6502940325845946,0.6194444444444445,0.6779661016949152,0.6546052631578947,0.6459955139200422,0.6664855100067891,0.6410906057346312,0.6550965226686788,0.6225543009607288,0.672316384180791,0.6513157894736842,0.0,"{'bajo': 10, 'medio': 5, 'alto': 13}",0.6505635861599245
100,bootstrap_094,"['mid risk', 'low risk', 'high risk']",22,2.8181818181818183,5,0.7947269303201506,0.7966101694915254,0.7993421052631579,0.6244254958877601,0.6136673388086663,0.6142172975612418,0.6224753467278384,0.6210838286533358,0.6214689265536724,0.6217105263157895,0.6374714122355631,0.6777849450350377,0.6543767458785791,0.6663511999327246,0.627376391551549,0.6836158192090396,0.6611842105263158,0.0,"{'bajo': 6, 'medio': 4, 'alto': 12}",0.6414220772216772
119,bootstrap_113,"['low risk', 'high risk', 'mid risk']",23,2.9130434782608696,5,0.9096045197740112,0.8926553672316384,0.8848684210526315,0.6443682104059462,0.6310448337337403,0.6285691762080864,0.6092442831172914,0.6059017027863778,0.6440677966101694,0.6414473684210527,0.6475843339050886,0.6565083492903568,0.6393995275359022,0.6432514639055086,0.6219298245614034,0.6666666666666666,0.6447368421052632,0.0,"{'bajo': 8, 'medio': 4, 'alto': 11}",0.6408038245056412
122,bootstrap_116,"['high risk', 'low risk', 'mid risk']",23,3.1739130434782608,5,0.7966101694915254,0.807909604519774,0.8486842105263158,0.6481148568412719,0.6233651457972501,0.5863397869720454,0.6132923539786285,0.5631225045764446,0.6440677966101694,0.6019736842105263,0.6742561683599421,0.6640678304712274,0.6267660025426046,0.6587610788864128,0.6240708524857428,0.672316384180791,0.6348684210526315,0.01018833788871465,"{'bajo': 8, 'medio': 6, 'alto': 9}",0.6356145958412468
109,bootstrap_103,"['high risk', 'mid risk', 'low risk']",21,2.8095238095238093,4,0.8625235404896422,0.8587570621468926,0.8552631578947368,0.64061331750011,0.5882630801034118,0.5972499688993289,0.5989954105399324,0.6033828557355919,0.5932203389830508,0.6019736842105263,0.6272842723314421,0.6627455561594111,0.6409289487707086,0.6481730274833724,0.6205566876096679,0.6666666666666666,0.6447368421052632,0.0,"{'bajo': 8, 'medio': 4, 'alto': 9}",0.6339684030634144
65,bootstrap_059,"['low risk', 'high risk', 'mid risk']",23,2.9130434782608696,5,0.8606403013182674,0.8983050847457628,0.8980263157894737,0.636162972247878,0.6327548171587525,0.6281580486208266,0.6252634046696897,0.604872191468577,0.655367231638418,0.6447368421052632,0.6601629502572899,0.6422240620063692,0.6494621745988346,0.6381247578457963,0.6364461298777505,0.6610169491525424,0.6611842105263158,0.017938888250920715,"{'bajo': 10, 'medio': 6, 'alto': 7}",0.633159034281545
93,bootstrap_087,"['mid risk', 'high risk', 'low risk']",25,2.96,5,0.8192090395480226,0.807909604519774,0.8421052631578947,0.6489532480098518,0.5847703119788572,0.5753407935028536,0.5993080993080994,0.5958669955602253,0.5988700564971752,0.5789473684210527,0.6735882042485816,0.6668325858504797,0.642941345132296,0.6662689357611674,0.6407667424106617,0.6779661016949152,0.6513157894736842,0.0067556183981019036,"{'bajo': 6, 'medio': 7, 'alto': 12}",0.6287004284292003
36,bootstrap_030,"['low risk', 'mid risk', 'high risk']",26,2.769230769230769,5,0.9190207156308852,0.9378531073446328,0.9144736842105263,0.6680740643004794,0.6317796186906267,0.6314806646961814,0.6328866968657832,0.6271613228134968,0.655367231638418,0.6513157894736842,0.6698085719312133,0.630904310343368,0.6306391171267903,0.6370421036631707,0.626873662067387,0.6497175141242938,0.6414473684210527,0.038904261587845324,"{'bajo': 9, 'medio': 7, 'alto': 10}",0.6278523869311975
34,bootstrap_028,"['mid risk', 'low risk', 'high risk']",25,2.72,4,0.9698681732580038,0.9661016949152542,0.9802631578947368,0.6574278708712672,0.632406048262166,0.5932295003336253,0.6448200182377398,0.6108531702501097,0.6440677966101694,0.6052631578947368,0.6415754057263491,0.6238324283965604,0.5994785731344753,0.619944924219589,0.6021714959557303,0.6440677966101694,0.6217105263157895,0.01774297732978869,"{'bajo': 10, 'medio': 7, 'alto': 8}",0.6273649368977082
42,bootstrap_036,"['low risk', 'mid risk', 'high risk']",28,3.0357142857142856,6,0.8907721280602636,0.864406779661017,0.8980263157894737,0.6431010027708142,0.5780471989286361,0.5896673924598669,0.5683625730994152,0.5669487624653923,0.6045197740112994,0.6085526315789473,0.6604598231956722,0.6581980160806165,0.6333939380634294,0.6616825176246358,0.6291371533895068,0.6779661016949152,0.6447368421052632,0.0022618071150557473,"{'bajo': 13, 'medio': 2, 'alto': 13}",0.6262042871988479
