id,consecuente,cobertura,aciertos,errores,precision,recall_local,edad,presion_sistolica,presion_diastolica,azucar_sangre,temperatura_corporal,frecuencia_cardiaca
R067,low risk,38,30,8,0.7894736842105263,0.07425742574257425,adolescente,hipotension,normal,normoglucemia,normal,normal
R068,low risk,2,2,0,1.0,0.0049504950495049506,adolescente,hipotension,normal,normoglucemia,febricular,normal
R069,mid risk,11,5,6,0.45454545454545453,0.01488095238095238,muy_avanzada,normal,elevada,diabetes_manifiesta,normal,bradicardia
R070,low risk,5,5,0,1.0,0.012376237623762377,muy_avanzada,normal,hipertension,normoglucemia,normal,normal
R071,high risk,12,5,7,0.4166666666666667,0.01838235294117647,muy_avanzada,elevada,normal,diabetes_manifiesta,normal,normal
R072,high risk,3,3,0,1.0,0.011029411764705883,avanzada,normal,elevada,diabetes_manifiesta,normal,normal
R073,mid risk,15,8,7,0.5333333333333333,0.023809523809523808,adolescente,normal,normal,normoglucemia,fiebre,normal
R074,high risk,2,2,0,1.0,0.007352941176470588,avanzada,hipotension,normal,hiperglucemia_gestacional,normal,normal
R075,high risk,1,1,0,1.0,0.003676470588235294,optima,elevada,normal,diabetes_manifiesta,normal,normal
R076,high risk,10,5,5,0.5,0.01838235294117647,optima,normal,normal,hiperglucemia_gestacional,fiebre,normal
R077,low risk,4,3,1,0.75,0.007425742574257425,avanzada,normal,normal,hiperglucemia_gestacional,normal,bradicardia
R078,low risk,49,35,14,0.7142857142857143,0.08663366336633663,adolescente,normal,normal,normoglucemia,normal,normal
R079,low risk,15,10,5,0.6666666666666666,0.024752475247524754,muy_avanzada,hipotension,normal,normoglucemia,normal,normal
R080,mid risk,5,5,0,1.0,0.01488095238095238,muy_avanzada,elevada,normal,normoglucemia,normal,normal
R081,high risk,5,5,0,1.0,0.01838235294117647,muy_avanzada,normal,normal,diabetes_manifiesta,normal,normal
R082,high risk,6,6,0,1.0,0.022058823529411766,avanzada,normal,elevada,hiperglucemia_gestacional,normal,normal
R083,high risk,5,5,0,1.0,0.01838235294117647,muy_avanzada,elevada,hipertension,diabetes_manifiesta,normal,bradicardia
R084,low risk,14,8,6,0.5714285714285714,0.019801980198019802,muy_avanzada,normal,elevada,normoglucemia,normal,normal
R085,low risk,1,1,0,1.0,0.0024752475247524753,optima,normal,normal,normoglucemia,normal,bradicardia
R086,high risk,38,15,23,0.39473684210526316,0.05514705882352941,muy_avanzada,normal,normal,hiperglucemia_gestacional,normal,normal
R087,high risk,4,4,0,1.0,0.014705882352941176,avanzada,elevada,hipertension,normoglucemia,normal,normal
R088,low risk,2,2,0,1.0,0.0049504950495049506,avanzada,hipotension,normal,normoglucemia,normal,normal
R089,low risk,6,6,0,1.0,0.01485148514851485,optima,hipotension,normal,normoglucemia,normal,bradicardia
R090,mid risk,14,5,9,0.35714285714285715,0.01488095238095238,muy_avanzada,normal,elevada,normoglucemia,normal,normal
R091,high risk,10,10,0,1.0,0.03676470588235294,optima,elevada,elevada,diabetes_manifiesta,normal,normal
