algoritmo,accuracy_promedio,accuracy_desviacion_estandar,error_promedio,error_desviacion_estandar,error_balanceado_promedio,error_balanceado_desviacion_estandar,balanced_accuracy_promedio,balanced_accuracy_desviacion_estandar
AG_MICHIGAN_BINARIO,0.47490118577075097,0.02146890314891723,0.525098814229249,0.02146890314891723,0.5749032492534967,0.017401192605016838,0.42509675074650327,0.017401192605016824
PRISM_ESTOCASTICO,0.25548418972332015,0.13100815587868692,0.7445158102766797,0.13100815587868694,0.7384042973625093,0.10518498390092665,0.26159570263749055,0.10518498390092666
RIPPER,0.6476778656126482,0.014842836246841684,0.35232213438735177,0.014842836246841684,0.36327123258544336,0.013203832593329905,0.6367287674145565,0.013203832593329905
