id_global,iteracion_origen,id_origen,clase,precision,recall,f1,cobertura,aciertos,errores,antecedentes
RG0780,5,R060,high risk,0.7058823529411765,0.04411764705882353,0.08304498269896195,17,12,5,edad=muy_avanzada AND presion_sistolica=normal AND presion_diastolica=normal AND azucar_sangre=diabetes_manifiesta AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG0175,1,R175,high risk,0.7,0.025735294117647058,0.04964539007092198,10,7,3,edad=avanzada AND presion_sistolica=elevada AND presion_diastolica=hipertension AND azucar_sangre=normoglucemia AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG0252,2,R040,high risk,0.6666666666666666,0.007352941176470588,0.014545454545454547,3,2,1,edad=muy_avanzada AND presion_sistolica=elevada AND presion_diastolica=normal AND azucar_sangre=normoglucemia AND temperatura_corporal=fiebre AND frecuencia_cardiaca=normal
RG0497,3,R120,high risk,0.6428571428571429,0.03308823529411765,0.06293706293706293,14,9,5,edad=muy_avanzada AND presion_sistolica=normal AND presion_diastolica=elevada AND azucar_sangre=diabetes_manifiesta AND temperatura_corporal=normal AND frecuencia_cardiaca=bradicardia
RG1769,11,R161,high risk,0.6428571428571429,0.03308823529411765,0.06293706293706293,14,9,5,edad=muy_avanzada AND presion_sistolica=elevada AND presion_diastolica=elevada AND azucar_sangre=diabetes_manifiesta AND temperatura_corporal=normal AND frecuencia_cardiaca=bradicardia
RG0006,1,R006,high risk,0.5862068965517241,0.0625,0.11295681063122924,29,17,12,edad=muy_avanzada AND presion_sistolica=elevada AND presion_diastolica=normal AND azucar_sangre=diabetes_manifiesta AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG0240,2,R027,high risk,0.5833333333333334,0.025735294117647058,0.04929577464788732,12,7,5,edad=muy_avanzada AND presion_sistolica=elevada AND presion_diastolica=normal AND azucar_sangre=diabetes_manifiesta AND temperatura_corporal=normal AND frecuencia_cardiaca=bradicardia
RG0744,5,R011,high risk,0.5555555555555556,0.01838235294117647,0.03558718861209964,9,5,4,edad=adolescente AND presion_sistolica=normal AND presion_diastolica=normal AND azucar_sangre=normoglucemia AND temperatura_corporal=hiperpirexia AND frecuencia_cardiaca=normal
RG2054,13,R169,high risk,0.5555555555555556,0.01838235294117647,0.03558718861209964,9,5,4,edad=adolescente AND presion_sistolica=hipotension AND presion_diastolica=normal AND azucar_sangre=normoglucemia AND temperatura_corporal=hiperpirexia AND frecuencia_cardiaca=normal
RG1666,11,R008,high risk,0.5454545454545454,0.04411764705882353,0.0816326530612245,22,12,10,edad=optima AND presion_sistolica=hipotension AND presion_diastolica=normal AND azucar_sangre=hiperglucemia_gestacional AND temperatura_corporal=fiebre AND frecuencia_cardiaca=normal
RG0217,1,R217,high risk,0.5384615384615384,0.025735294117647058,0.04912280701754386,13,7,6,edad=muy_avanzada AND presion_sistolica=normal AND presion_diastolica=hipertension AND azucar_sangre=diabetes_manifiesta AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG1890,12,R134,high risk,0.42857142857142855,0.011029411764705883,0.02150537634408602,7,3,4,edad=adolescente AND presion_sistolica=normal AND presion_diastolica=normal AND azucar_sangre=hiperglucemia_gestacional AND temperatura_corporal=hiperpirexia AND frecuencia_cardiaca=normal
RG1962,13,R034,high risk,0.42857142857142855,0.011029411764705883,0.02150537634408602,7,3,4,edad=adolescente AND presion_sistolica=hipotension AND presion_diastolica=normal AND azucar_sangre=hiperglucemia_gestacional AND temperatura_corporal=hiperpirexia AND frecuencia_cardiaca=normal
RG0568,3,R203,high risk,0.37254901960784315,0.06985294117647059,0.11764705882352942,51,19,32,edad=optima AND presion_sistolica=elevada AND presion_diastolica=hipertension AND azucar_sangre=hiperglucemia_gestacional AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG0307,2,R104,high risk,0.35,0.025735294117647058,0.04794520547945205,20,7,13,edad=muy_avanzada AND presion_sistolica=elevada AND presion_diastolica=hipertension AND azucar_sangre=hiperglucemia_gestacional AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG1961,13,R033,high risk,0.3448275862068966,0.07352941176470588,0.12121212121212122,58,20,38,edad=adolescente AND presion_sistolica=hipotension AND presion_diastolica=normal AND azucar_sangre=hiperglucemia_gestacional AND temperatura_corporal=fiebre AND frecuencia_cardiaca=normal
RG1118,7,R071,high risk,0.3333333333333333,0.007352941176470588,0.014388489208633096,6,2,4,edad=optima AND presion_sistolica=elevada AND presion_diastolica=normal AND azucar_sangre=normoglucemia AND temperatura_corporal=febricular AND frecuencia_cardiaca=normal
RG1145,7,R106,high risk,0.3090909090909091,0.0625,0.10397553516819572,55,17,38,edad=muy_avanzada AND presion_sistolica=elevada AND presion_diastolica=normal AND azucar_sangre=hiperglucemia_gestacional AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG0039,1,R039,high risk,0.27848101265822783,0.08088235294117647,0.12535612535612536,79,22,57,edad=optima AND presion_sistolica=elevada AND presion_diastolica=hipertension AND azucar_sangre=normoglucemia AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG1486,9,R157,high risk,0.21428571428571427,0.03308823529411765,0.05732484076433121,42,9,33,edad=adolescente AND presion_sistolica=hipotension AND presion_diastolica=normal AND azucar_sangre=normoglucemia AND temperatura_corporal=fiebre AND frecuencia_cardiaca=normal
RG0957,6,R081,high risk,0.2,0.011029411764705883,0.02090592334494774,15,3,12,edad=avanzada AND presion_sistolica=elevada AND presion_diastolica=normal AND azucar_sangre=normoglucemia AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG2405,16,R133,high risk,0.2,0.003676470588235294,0.007220216606498195,5,1,4,edad=adolescente AND presion_sistolica=normal AND presion_diastolica=normal AND azucar_sangre=normoglucemia AND temperatura_corporal=fiebre AND frecuencia_cardiaca=bradicardia
RG0192,1,R192,high risk,0.18181818181818182,0.007352941176470588,0.014134275618374556,11,2,9,edad=avanzada AND presion_sistolica=elevada AND presion_diastolica=elevada AND azucar_sangre=normoglucemia AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG0232,2,R019,high risk,0.1702127659574468,0.029411764705882353,0.050156739811912224,47,8,39,edad=adolescente AND presion_sistolica=normal AND presion_diastolica=normal AND azucar_sangre=normoglucemia AND temperatura_corporal=fiebre AND frecuencia_cardiaca=normal
RG0099,1,R099,high risk,0.09090909090909091,0.007352941176470588,0.013605442176870748,22,2,20,edad=muy_avanzada AND presion_sistolica=elevada AND presion_diastolica=hipertension AND azucar_sangre=normoglucemia AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG0665,4,R104,high risk,0.09090909090909091,0.007352941176470588,0.013605442176870748,22,2,20,edad=muy_avanzada AND presion_sistolica=normal AND presion_diastolica=hipertension AND azucar_sangre=normoglucemia AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG0280,2,R072,high risk,0.07142857142857142,0.011029411764705883,0.01910828025477707,42,3,39,edad=muy_avanzada AND presion_sistolica=elevada AND presion_diastolica=normal AND azucar_sangre=normoglucemia AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
