algoritmo,iteraciones,accuracy_promedio,accuracy_desviacion_estandar,error_promedio,error_desviacion_estandar,balanced_accuracy_promedio,balanced_accuracy_desviacion_estandar,error_balanceado_promedio,error_balanceado_desviacion_estandar,reglas_limpias_promedio,reglas_limpias_desviacion_estandar,duplicadas_eliminadas_promedio,antecedentes_promedio,antecedentes_desviacion_estandar,mejor_iteracion,mejor_accuracy,mejor_balanced_accuracy
AG_MICHIGAN_BINARIO,20,0.4936758893280633,0.022251743187317687,0.5063241106719367,0.02225174318731767,0.5032507557478436,0.01643265633162268,0.49674924425215644,0.01643265633162268,101.2,43.55105896349829,266.8,6.0,0.0,12,0.5365612648221344,0.5397495631916133
PRISM_ESTOCASTICO,20,0.03078063241106719,0.011286038546034872,0.969219367588933,0.011286038546034879,0.03384375202226105,0.009793648799939027,0.9661562479777388,0.009793648799939027,3.15,1.2680278927697548,0.0,6.0,0.0,3,0.05731225296442688,0.05573004779469543
RIPPER,20,0.38764822134387356,0.040714517144816297,0.6123517786561266,0.040714517144816297,0.3875597144798513,0.03908679668767304,0.6124402855201486,0.03908679668767304,29.2,2.4623480450043695,5.55,6.0,0.0,18,0.4723320158102767,0.4737845633302826
